employee_id,name,department,salary,age,years_exp,join_date
EMP0000,Employee 0,Sales,63767.0,36,8,2014-10-01
EMP0001,Employee 1,Sales,127112.0,50,2,2014-09-01
EMP0002,Employee 2,HR,109773.0,54,19,2020-02-01
EMP0003,Employee 3,Finance,24811.0,51,24,2012-07-01
EMP0004,Employee 4,Marketing,101686.0,48,25,2010-05-01
EMP0005,Employee 5,Engineering,92786.0,57,10,2023-11-01
EMP0006,Employee 6,HR,67766.0,50,5,2012-12-01
EMP0007,Employee 7,Engineering,39620.0,59,1,2023-03-01
EMP0008,Employee 8,Finance,89885.0,54,6,2013-03-01
EMP0009,Employee 9,Sales,23022.0,58,17,2021-06-01
EMP0010,Employee 10,Sales,74463.0,48,26,2023-04-01
EMP0011,Employee 11,Finance,59573.0,54,1,2022-11-01
EMP0012,Employee 12,Marketing,43529.0,25,26,2016-08-01
EMP0013,Employee 13,Marketing,104720.0,43,16,2012-10-01
EMP0014,Employee 14,Finance,73967.0,23,10,2020-05-01
EMP0015,Employee 15,Finance,79349.0,31,26,2020-07-01
EMP0016,Employee 16,Finance,97697.0,26,11,2016-08-01
EMP0017,Employee 17,Finance,74780.0,31,26,2011-11-01
EMP0018,Employee 18,Finance,86285.0,54,18,2022-02-01
EMP0019,Employee 19,Finance,95396.0,59,21,2016-09-01
EMP0020,Employee 20,Sales,89169.0,34,23,2021-05-01
EMP0021,Employee 21,Engineering,82150.0,52,24,2021-06-01
EMP0022,Employee 22,Marketing,119578.0,57,6,2017-08-01
EMP0023,Employee 23,Engineering,106049.0,45,19,2015-10-01
EMP0024,Employee 24,Sales,72856.0,36,5,2010-12-01
EMP0025,Employee 25,HR,52258.0,50,20,2011-12-01
EMP0026,Employee 26,Engineering,90966.0,29,23,2017-11-01
EMP0027,Employee 27,HR,80397.0,26,0,2020-12-01
EMP0028,Employee 28,Sales,117725.0,50,16,2015-02-01
EMP0029,Employee 29,Marketing,99687.0,25,28,2022-09-01
EMP0030,Employee 30,HR,94105.0,33,10,2016-04-01
EMP0031,Employee 31,Sales,75324.0,23,21,2016-04-01
EMP0032,Employee 32,Finance,53108.0,48,25,2017-05-01
EMP0033,Employee 33,Marketing,70051.0,52,27,2015-05-01
EMP0034,Employee 34,Finance,86921.0,57,17,2015-09-01
EMP0035,Employee 35,Marketing,31760.0,57,20,2019-03-01
EMP0036,Employee 36,Marketing,106043.0,47,16,2019-08-01
EMP0037,Employee 37,Engineering,126676.0,48,6,2022-06-01
EMP0038,Employee 38,Marketing,26377.0,26,16,2020-01-01
EMP0039,Employee 39,Engineering,39995.0,41,19,2010-02-01
EMP0040,Employee 40,HR,80742.0,32,8,2020-08-01
EMP0041,Employee 41,Marketing,60435.0,31,16,2010-02-01
EMP0042,Employee 42,HR,81523.0,59,19,2023-03-01
EMP0043,Employee 43,Marketing,73208.0,27,21,2017-08-01
EMP0044,Employee 44,Engineering,49405.0,29,21,2010-07-01
EMP0045,Employee 45,Finance,107210.0,44,27,2013-12-01
EMP0046,Employee 46,Marketing,86613.0,47,28,2012-11-01
EMP0047,Employee 47,Sales,61006.0,33,7,2014-03-01
EMP0048,Employee 48,Finance,112626.0,47,16,2023-05-01
EMP0049,Employee 49,Engineering,62290.0,34,6,2011-11-01
EMP0050,Employee 50,Sales,43954.0,39,0,2015-05-01
EMP0051,Employee 51,HR,79588.0,46,12,2011-06-01
EMP0052,Employee 52,Engineering,83829.0,54,29,2020-11-01
EMP0053,Employee 53,Finance,88298.0,33,22,2012-01-01
EMP0054,Employee 54,HR,92409.0,57,18,2016-11-01
EMP0055,Employee 55,HR,87903.0,25,26,2014-12-01
EMP0056,Employee 56,Engineering,86887.0,26,23,2021-04-01
EMP0057,Employee 57,Finance,60656.0,58,18,2016-11-01
EMP0058,Employee 58,Engineering,57981.0,29,29,2011-12-01
EMP0059,Employee 59,Sales,93559.0,49,29,2011-01-01
EMP0060,Employee 60,Sales,81086.0,52,28,2013-08-01
EMP0061,Employee 61,Marketing,95506.0,30,16,2011-03-01
EMP0062,Employee 62,HR,32318.0,50,12,2019-04-01
EMP0063,Employee 63,Marketing,62480.0,35,28,2018-11-01
EMP0064,Employee 64,Finance,122675.0,43,29,2017-01-01
EMP0065,Employee 65,Sales,88813.0,32,15,2010-12-01
EMP0066,Employee 66,Marketing,82389.0,44,7,2015-02-01
EMP0067,Employee 67,Sales,92698.0,22,18,2023-07-01
EMP0068,Employee 68,Sales,130211.0,58,17,2021-03-01
EMP0069,Employee 69,Sales,124951.0,42,0,2017-02-01
EMP0070,Employee 70,Engineering,35512.0,47,13,2013-07-01
EMP0071,Employee 71,Marketing,44737.0,57,18,2011-12-01
EMP0072,Employee 72,HR,34665.0,44,14,2022-02-01
EMP0073,Employee 73,Marketing,56322.0,22,17,2011-06-01
EMP0074,Employee 74,HR,76373.0,36,1,2015-05-01
EMP0075,Employee 75,Marketing,81050.0,42,21,2012-07-01
EMP0076,Employee 76,Marketing,36738.0,30,27,2022-03-01
EMP0077,Employee 77,Sales,28316.0,30,16,2020-11-01
EMP0078,Employee 78,HR,55880.0,31,17,2012-02-01
EMP0079,Employee 79,HR,97904.0,47,29,2018-10-01
