customer_id,name,email,phone,aadhaar,dob,city,segment,lifetime_value,active
C00000,Customer 0,customer0@domain.com,9895132217,9270 7991 9976,1983-09-21,Chennai,Premium,7345.1,Yes
C00001,Customer 1,customer1@domain.com,9866851377,8305 3607 8777,1982-01-13,Chennai,Basic,61706.31,Yes
C00002,Customer 2,customer2@domain.com,9847135391,8373 5246 5050,1977-04-04,Delhi,Standard,40239.7,Yes
C00003,Customer 3,customer3@domain.com,9815917225,5543 9540 8939,1989-02-22,Hyderabad,Basic,17585.09,Yes
C00004,Customer 4,customer4@domain.com,9810475894,,1973-11-21,Delhi,Standard,27217.47,Yes
C00005,Customer 5,customer5@domain.com,9854769200,2269 5681 4841,1998-01-02,Bangalore,Basic,14799.62,Yes
C00006,Customer 6,customer6@domain.com,9827558317,5451 6502 6238,1981-04-05,Pune,Premium,47274.87,Yes
C00007,Customer 7,customer7@domain.com,9895511909,9849 2320 3267,1996-04-03,Mumbai,Basic,4255.8,Yes
C00008,Customer 8,customer8@domain.com,9845159040,3471 4788 7275,1995-04-19,Chennai,Basic,259.92,Yes
C00009,Customer 9,customer9@domain.com,,3503 4505 2052,1973-04-11,Bangalore,Standard,49428.88,Yes
C00010,Customer 10,customer10@domain.com,,7797 7678 6421,1969-10-01,Delhi,Standard,10800.57,Yes
C00011,Customer 11,,,9890 8633 7812,1977-03-05,Chennai,Premium,3679.15,Yes
C00012,Customer 12,customer12@domain.com,9867403166,2020 4388 7883,1994-05-26,Pune,Basic,25273.98,Yes
C00013,Customer 13,,9885283645,7381 1320 7232,1971-02-22,Delhi,Basic,2605.13,Yes
C00014,Customer 14,customer14@domain.com,9811297845,8814 1096 6763,1961-03-01,Hyderabad,Basic,108849.26,Yes
C00015,Customer 15,customer15@domain.com,9825015458,5892 7389 7865,1982-04-19,Hyderabad,Basic,1400.26,Yes
C00016,Customer 16,customer16@domain.com,9820099059,9818 9947 4613,1980-01-06,Mumbai,Premium,43240.08,Yes
C00017,Customer 17,customer17@domain.com,9830005727,8999 4595 5471,1976-01-05,Chennai,Standard,28854.87,Yes
C00018,Customer 18,,9883227889,8140 8956 1475,1986-09-04,Bangalore,Basic,55741.07,Yes
C00019,Customer 19,customer19@domain.com,9814835614,7371 6507 7624,1964-08-15,Mumbai,Premium,19886.21,Yes
C00020,Customer 20,customer20@domain.com,9859555330,3704 8657 3091,1983-09-19,Chennai,Premium,8423.4,Yes
C00021,Customer 21,customer21@domain.com,9888183110,9751 1441 7455,1966-08-17,Chennai,Premium,200429.14,Yes
C00022,Customer 22,customer22@domain.com,9884158663,1444 2375 8022,1974-10-02,Chennai,Premium,91296.9,Yes
C00023,Customer 23,customer23@domain.com,9829876811,3223 8564 3977,1993-05-15,Chennai,Premium,98450.36,Yes
C00024,Customer 24,,9867684996,1823 5262 7211,1961-01-16,Chennai,Standard,14400.86,Yes
C00025,Customer 25,customer25@domain.com,9827105448,6363 4467 8449,1985-07-22,Mumbai,Premium,1980.45,Yes
C00026,Customer 26,customer26@domain.com,9815614174,6355 6529 7211,1966-08-23,Pune,Standard,18067.54,Yes
C00027,Customer 27,customer27@domain.com,9851373735,5558 7906 5133,1988-02-03,Pune,Basic,38510.31,Yes
C00028,Customer 28,customer28@domain.com,9858942697,2341 8705 1317,1980-10-05,Mumbai,Basic,19774.59,Yes
